jaspar_id,jaspar_name,correlation
MA1992.2,Ikzf3,0.343158423181269
MA0520.2,Stat6,0.34271433065580037
MA0743.3,SCRT1,0.34109887678492584
MA0684.3,RUNX3,0.3403992689912652
MA0510.3,RFX5,0.3395977509220112
MA0647.2,GRHL1,0.3395676852911319
MA0798.3,RFX3,0.33636975926485224
MA0820.2,FIGLA,0.3362841732142759
MA0509.3,RFX1,0.3351424686978977
MA0638.2,CREB3,0.3346971950685844
MA1718.1,ZNF8,0.33430206599356416
MA1421.1,TCF7L1,0.3342424492103308
MA1991.2,Hnf1A,0.33330675780380153
MA0616.3,HES2,0.3328516831139896
MA1524.3,Msgn1,0.33278007570067913
MA0519.2,Stat5a::Stat5b,0.3314195641274659
MA0800.2,EOMES,0.33095903208026617
MA0608.1,Creb3l2,0.3284906502269218
MA0258.2,ESR2,0.32768013949605834
MA0731.1,BCL6B,0.3262014201568756
MA0805.1,TBX1,0.32390058967218766
MA0821.2,HES5,0.3233971514015908
MA0844.2,XBP1,0.323034487781907
MA1941.2,ETV2::FIGLA,0.32233851851404016
MA0473.4,ELF1,0.3214612871963616
MA0801.1,MGA,0.3209172542932349
MA0002.3,Runx1,0.32000301261018743
MA0781.2,PAX9,0.3183286070497486
MA0600.3,RFX2,0.31710248841441296
MA0779.2,PAX1,0.3147947298474826
MA0007.4,Ar,0.31296013864960365
MA0591.2,Bach1::Mafk,0.31251056875540056
MA0829.3,SREBF1,0.31236304924602604
MA0672.2,NKX2-3,0.31177991839777003
MA0089.3,MAFG::NFE2L1,0.3115180614050405
MA0823.1,HEY1,0.3110123026134084
MA1493.1,HES6,0.3106138087856563
MA2331.1,ZNF157,0.309342740423601
MA1978.2,ZNF354A,0.3093380053307828
MA0136.4,Elf5,0.30630519276103674
MA0778.2,NFKB2,0.3055024911892172
MA0807.1,TBX5,0.3052957515886627
MA1566.3,TBX3,0.304588473130513
MA0794.1,PROX1,0.30432069184741184
MA0496.4,MAFK,0.30366748373022867
MA0160.3,NR4A2,0.3034776311070473
MA0124.3,Nkx3-1,0.30322422212970535
MA0802.2,TBR1,0.30298868136048807
MA1544.2,OVOL1,0.30257150810496014
MA0112.4,ESR1,0.3023974851019347
MA1994.2,Nkx2-1,0.30208785067886423
MA0603.2,Arntl,0.3018149227130155
MA1117.2,RELB,0.3004628845973425
MA0501.2,MAF::NFE2,0.30023432410025236
MA1964.2,SMAD2,0.30000689015096915
MA1944.2,ETV5::DRGX,0.29975280230089174
MA0048.3,NHLH1,0.29944485867418513
MA0659.4,Mafg,0.29871476038652794
MA0777.1,MYBL2,0.2980543876203909
MA1684.1,Foxn1,0.2979250965653049
MA1948.2,ETV5::HOXA2,0.2978566556675761
MA0004.1,Arnt,0.29749794658704876
MA0069.1,PAX6,0.296152480988016
MA0749.2,ZBED1,0.29590864530654015
MA0150.3,Nfe2l2,0.2957537209365241
MA2123.1,Hand1,0.29494977127967936
MA0131.3,HINFP,0.29420909926683225
MA1112.3,NR4A1,0.2932234883578486
MA0525.2,TP63,0.29312549929781606
MA0649.2,HEY2,0.2917587023793954
MA0014.4,PAX5,0.29095211796975234
MA0051.2,IRF2,0.29069853290792486
MA0464.3,BHLHE40,0.29053292023972266
MA1541.2,NR6A1,0.2903502365657006
MA0626.2,Npas2,0.2890492603021337
MA0664.2,MLXIPL,0.28747616191495623
MA1464.2,ARNT2,0.2865831839021859
MA0663.1,MLX,0.28621984167333814
MA0828.3,SREBF2,0.2854424740879475
MA1560.2,SOHLH2,0.28536863717428396
MA1958.2,HOXD12::ELK1,0.28520342143904853
MA0636.1,BHLHE41,0.28497590323516536
MA0060.4,NFYA,0.28487172224515306
MA0871.3,TFEC,0.28419210096114755
